field/0/_name,field/0/__text,field/1/_name,field/1/__text,field/2/_name,field/2/__text,field/3/_name,field/3/__text,field/4/_name,field/4/__text,field/5/_name,field/5/__text
Reference Area,Italy,Time Period,2013,Sex,Female,Age group,Not applicable,Units of measurement,Number,Observation Value,271852
Reference Area,Italy,Time Period,2013,Sex,All genders,Age group,Not applicable,Units of measurement,Number,Observation Value,559882
Reference Area,Italy,Time Period,2012,Sex,Female,Age group,Not applicable,Units of measurement,Number,Observation Value,271591
Reference Area,Italy,Time Period,2012,Sex,All genders,Age group,Not applicable,Units of measurement,Number,Observation Value,561149
Reference Area,Italy,Time Period,2011,Sex,Female,Age group,Not applicable,Units of measurement,Number,Observation Value,278828
Reference Area,Italy,Time Period,2011,Sex,All genders,Age group,Not applicable,Units of measurement,Number,Observation Value,578207
Reference Area,Italy,Time Period,2010,Sex,Female,Age group,Not applicable,Units of measurement,Number,Observation Value,275154
Reference Area,Italy,Time Period,2010,Sex,All genders,Age group,Not applicable,Units of measurement,Number,Observation Value,568268
Reference Area,Italy,Time Period,2009,Sex,Female,Age group,Not applicable,Units of measurement,Number,Observation Value,271965
Reference Area,Italy,Time Period,2009,Sex,All genders,Age group,Not applicable,Units of measurement,Number,Observation Value,564044
Reference Area,Italy,Time Period,2008,Sex,Female,Age group,Not applicable,Units of measurement,Number,Observation Value,279800
Reference Area,Italy,Time Period,2008,Sex,All genders,Age group,Not applicable,Units of measurement,Number,Observation Value,576875
Reference Area,Italy,Time Period,2007,Sex,Female,Age group,Not applicable,Units of measurement,Number,Observation Value,270710
Reference Area,Italy,Time Period,2007,Sex,All genders,Age group,Not applicable,Units of measurement,Number,Observation Value,560128
Reference Area,Italy,Time Period,2006,Sex,Female,Age group,Not applicable,Units of measurement,Number,Observation Value,266135
Reference Area,Italy,Time Period,2006,Sex,All genders,Age group,Not applicable,Units of measurement,Number,Observation Value,550753
Reference Area,Italy,Time Period,2005,Sex,Female,Age group,Not applicable,Units of measurement,Number,Observation Value,267831
Reference Area,Italy,Time Period,2005,Sex,All genders,Age group,Not applicable,Units of measurement,Number,Observation Value,552990
Reference Area,Italy,Time Period,2004,Sex,Female,Age group,Not applicable,Units of measurement,Number,Observation Value,273745
Reference Area,Italy,Time Period,2004,Sex,All genders,Age group,Not applicable,Units of measurement,Number,Observation Value,563980
Reference Area,Italy,Time Period,2003,Sex,Female,Age group,Not applicable,Units of measurement,Number,Observation Value,276987
Reference Area,Italy,Time Period,2003,Sex,All genders,Age group,Not applicable,Units of measurement,Number,Observation Value,571312
Reference Area,Italy,Time Period,2002,Sex,Female,Age group,Not applicable,Units of measurement,Number,Observation Value,275607
Reference Area,Italy,Time Period,2002,Sex,All genders,Age group,Not applicable,Units of measurement,Number,Observation Value,568463
Reference Area,Italy,Time Period,2001,Sex,Female,Age group,Not applicable,Units of measurement,Number,Observation Value,280531
Reference Area,Italy,Time Period,2001,Sex,All genders,Age group,Not applicable,Units of measurement,Number,Observation Value,578034
Reference Area,Italy,Time Period,2000,Sex,Female,Age group,Not applicable,Units of measurement,Number,Observation Value,274869
Reference Area,Italy,Time Period,2000,Sex,All genders,Age group,Not applicable,Units of measurement,Number,Observation Value,565060
Reference Area,Italy,Time Period,1999,Sex,Female,Age group,Not applicable,Units of measurement,Number,Observation Value,273132
Reference Area,Italy,Time Period,1999,Sex,All genders,Age group,Not applicable,Units of measurement,Number,Observation Value,564421
Reference Area,Italy,Time Period,1997,Sex,Female,Age group,Not applicable,Units of measurement,Number,Observation Value,267681
Reference Area,Italy,Time Period,1997,Sex,All genders,Age group,Not applicable,Units of measurement,Number,Observation Value,551923
Reference Area,Italy,Time Period,1996,Sex,Female,Age group,Not applicable,Units of measurement,Number,Observation Value,280294
Reference Area,Italy,Time Period,1996,Sex,All genders,Age group,Not applicable,Units of measurement,Number,Observation Value,578735
Reference Area,Italy,Time Period,1995,Sex,Female,Age group,Not applicable,Units of measurement,Number,Observation Value,281417
Reference Area,Italy,Time Period,1995,Sex,All genders,Age group,Not applicable,Units of measurement,Number,Observation Value,583845
Reference Area,Italy,Time Period,1994,Sex,Female,Age group,Not applicable,Units of measurement,Number,Observation Value,299965
Reference Area,Italy,Time Period,1994,Sex,All genders,Age group,Not applicable,Units of measurement,Number,Observation Value,604217
