field/0/_name,field/0/__text,field/1/_name,field/1/__text,field/2/_name,field/2/__text,field/3/_name,field/3/__text,field/4/_name,field/4/__text,field/5/_name,field/5/__text
Reference Area,Thailand,Time Period,1975,Sex,Female,Age group,Not applicable,Units of measurement,Number,Observation Value,246270
Reference Area,Thailand,Time Period,1975,Sex,All genders,Age group,Not applicable,Units of measurement,Number,Observation Value,552177
Reference Area,Thailand,Time Period,1976,Sex,Female,Age group,Not applicable,Units of measurement,Number,Observation Value,274103
Reference Area,Thailand,Time Period,1976,Sex,All genders,Age group,Not applicable,Units of measurement,Number,Observation Value,604895
Reference Area,Thailand,Time Period,1977,Sex,Female,Age group,Not applicable,Units of measurement,Number,Observation Value,302440
Reference Area,Thailand,Time Period,1977,Sex,All genders,Age group,Not applicable,Units of measurement,Number,Observation Value,657314
Reference Area,Thailand,Time Period,1978,Sex,Female,Age group,Not applicable,Units of measurement,Number,Observation Value,334547
Reference Area,Thailand,Time Period,1978,Sex,All genders,Age group,Not applicable,Units of measurement,Number,Observation Value,713322
Reference Area,Thailand,Time Period,1979,Sex,All genders,Age group,Not applicable,Units of measurement,Number,Observation Value,942953
Reference Area,Thailand,Time Period,1980,Sex,All genders,Age group,Not applicable,Units of measurement,Number,Observation Value,1066873
Reference Area,Thailand,Time Period,1981,Sex,Female,Age group,Not applicable,Units of measurement,Number,Observation Value,553581
Reference Area,Thailand,Time Period,1981,Sex,All genders,Age group,Not applicable,Units of measurement,Number,Observation Value,1137013
Reference Area,Thailand,Time Period,1982,Sex,All genders,Age group,Not applicable,Units of measurement,Number,Observation Value,1187107
Reference Area,Thailand,Time Period,1984,Sex,All genders,Age group,Not applicable,Units of measurement,Number,Observation Value,1196022
Reference Area,Thailand,Time Period,1985,Sex,All genders,Age group,Not applicable,Units of measurement,Number,Observation Value,1167441
Reference Area,Thailand,Time Period,1986,Sex,All genders,Age group,Not applicable,Units of measurement,Number,Observation Value,1140042
Reference Area,Thailand,Time Period,1987,Sex,All genders,Age group,Not applicable,Units of measurement,Number,Observation Value,1134722
Reference Area,Thailand,Time Period,1988,Sex,All genders,Age group,Not applicable,Units of measurement,Number,Observation Value,1135832
Reference Area,Thailand,Time Period,1989,Sex,All genders,Age group,Not applicable,Units of measurement,Number,Observation Value,1122215
Reference Area,Thailand,Time Period,1990,Sex,All genders,Age group,Not applicable,Units of measurement,Number,Observation Value,1122954
Reference Area,Thailand,Time Period,1991,Sex,Female,Age group,Not applicable,Units of measurement,Number,Observation Value,542523
Reference Area,Thailand,Time Period,1991,Sex,All genders,Age group,Not applicable,Units of measurement,Number,Observation Value,1114556
Reference Area,Thailand,Time Period,1993,Sex,All genders,Age group,Not applicable,Units of measurement,Number,Observation Value,1132253
Reference Area,Thailand,Time Period,1996,Sex,All genders,Age group,Not applicable,Units of measurement,Number,Observation Value,985624
Reference Area,Thailand,Time Period,1997,Sex,All genders,Age group,Not applicable,Units of measurement,Number,Observation Value,984713
Reference Area,Thailand,Time Period,1998,Sex,All genders,Age group,Not applicable,Units of measurement,Number,Observation Value,950320
Reference Area,Thailand,Time Period,1999,Sex,Female,Age group,Not applicable,Units of measurement,Number,Observation Value,465703
Reference Area,Thailand,Time Period,1999,Sex,All genders,Age group,Not applicable,Units of measurement,Number,Observation Value,960456
Reference Area,Thailand,Time Period,2000,Sex,Female,Age group,Not applicable,Units of measurement,Number,Observation Value,460098
Reference Area,Thailand,Time Period,2000,Sex,All genders,Age group,Not applicable,Units of measurement,Number,Observation Value,947525
Reference Area,Thailand,Time Period,2001,Sex,Female,Age group,Not applicable,Units of measurement,Number,Observation Value,466796
Reference Area,Thailand,Time Period,2001,Sex,All genders,Age group,Not applicable,Units of measurement,Number,Observation Value,958575
Reference Area,Thailand,Time Period,2002,Sex,Female,Age group,Not applicable,Units of measurement,Number,Observation Value,482331
Reference Area,Thailand,Time Period,2002,Sex,All genders,Age group,Not applicable,Units of measurement,Number,Observation Value,993734
Reference Area,Thailand,Time Period,2004,Sex,Female,Age group,Not applicable,Units of measurement,Number,Observation Value,484645
Reference Area,Thailand,Time Period,2004,Sex,All genders,Age group,Not applicable,Units of measurement,Number,Observation Value,1017411
Reference Area,Thailand,Time Period,2005,Sex,Female,Age group,Not applicable,Units of measurement,Number,Observation Value,476449
Reference Area,Thailand,Time Period,2005,Sex,All genders,Age group,Not applicable,Units of measurement,Number,Observation Value,989629
Reference Area,Thailand,Time Period,2006,Sex,Female,Age group,Not applicable,Units of measurement,Number,Observation Value,466620
Reference Area,Thailand,Time Period,2006,Sex,All genders,Age group,Not applicable,Units of measurement,Number,Observation Value,982020
Reference Area,Thailand,Time Period,2007,Sex,Female,Age group,Not applicable,Units of measurement,Number,Observation Value,484879
Reference Area,Thailand,Time Period,2007,Sex,All genders,Age group,Not applicable,Units of measurement,Number,Observation Value,1001375
Reference Area,Thailand,Time Period,2008,Sex,Female,Age group,Not applicable,Units of measurement,Number,Observation Value,484638
Reference Area,Thailand,Time Period,2008,Sex,All genders,Age group,Not applicable,Units of measurement,Number,Observation Value,1004397
Reference Area,Thailand,Time Period,2009,Sex,Female,Age group,Not applicable,Units of measurement,Number,Observation Value,461900
Reference Area,Thailand,Time Period,2009,Sex,All genders,Age group,Not applicable,Units of measurement,Number,Observation Value,951523
Reference Area,Thailand,Time Period,2010,Sex,Female,Age group,Not applicable,Units of measurement,Number,Observation Value,415225
Reference Area,Thailand,Time Period,2010,Sex,All genders,Age group,Not applicable,Units of measurement,Number,Observation Value,856648
Reference Area,Thailand,Time Period,2011,Sex,Female,Age group,Not applicable,Units of measurement,Number,Observation Value,410275
